date,total,1,2,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,700,701,702,704
2024-10-23T00:51:59,15269,148,147,252,392,281,303,366,299,291,298,306,380,326,310,343,392,317,284,284,264,292,334,293,365,301,281,264,368,336,355,305,318,274,302,347,205,359,320,343,280,348,293,255,320,391,338,253,206,265,375
2024-10-23T18:05:26,14577,151,145,240,377,268,287,359,281,285,296,295,347,317,301,293,319,319,268,272,258,291,317,274,353,301,282,250,366,322,348,291,314,251,289,342,188,349,310,313,273,335,284,265,310,365,325,181,183,257,370
2024-10-23T22:19:00,13913,102,98,265,307,276,208,344,306,259,292,299,356,277,306,251,281,246,282,290,296,304,280,250,268,270,252,296,400,243,347,312,267,271,298,271,214,329,381,285,283,308,274,259,253,306,348,168,169,296,370
2024-10-24T00:06:56,13600,106,97,259,278,290,192,345,291,264,312,284,325,271,324,252,261,240,302,273,274,304,249,232,257,272,258,288,406,229,365,307,258,268,288,258,241,314,333,267,269,290,269,256,244,324,356,155,130,295,378
